City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Verkhnevilyuysk,RU,51.51,overcast clouds,63.4453,120.3167,Gostinitsa Mila
387,Iskateley,RU,42.64,overcast clouds,67.6803,53.1512,Hostel Agat
389,Coihaique,CL,33.75,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
395,Brae,GB,55.31,overcast clouds,60.3964,-1.353,Busta House Hotel
401,Chukhloma,RU,39.58,overcast clouds,58.7525,42.6825,Berezka
402,Marienburg,PL,47.86,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
405,Beringovskiy,RU,41.4,light rain,63.05,179.3167,Beringgorski
410,College,US,35.26,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
411,Raudeberg,NO,50.67,light rain,61.9875,5.1352,Nordre Silda.
413,Khomutovka,RU,43.68,overcast clouds,51.9207,34.5619,"Gostinnitsa ""Zarya"""
416,Asau,RO,45.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
422,Clyde River,CA,26.24,broken clouds,70.4692,-68.5914,Qamaq Hotel
424,Novopokrovka,UA,52.18,overcast clouds,49.8425,36.5477,Пудж дом
425,Beremend,HU,51.08,moderate rain,45.7911,18.4326,Hotel Beremend Rose
427,Tuatapere,NZ,49.26,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
437,Krasnoborsk,RU,40.1,clear sky,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
442,Comodoro Rivadavia,AR,53.46,clear sky,-45.8667,-67.5,Austral Hotel
443,Loksa,EE,46.72,light rain,59.5764,25.7214,Projekt-Kodu Retreat & Eco-Hostel
449,Eidfjord,NO,50.02,overcast clouds,60.4675,7.0719,Quality Hotel Vøringfoss
450,Norrkoping,SE,46.98,clear sky,58.5942,16.1826,The Lamp Hotel
455,Derzhavinsk,KZ,46.18,clear sky,51.1,66.3167,Ooo.khim Baza
460,Hay River,CA,42.78,few clouds,60.8156,-115.7999,Ptarmigan Inn
464,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
467,Loukhi,RU,39.9,overcast clouds,66.0764,33.0381,Хостел Северяночка
475,Rexburg,US,45.91,broken clouds,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
476,Rothenbach,DE,45.25,scattered clouds,47.6167,9.9833,Kräuterwirt Rössle Landgasthof Hotel
484,Heythuysen,NL,52.72,scattered clouds,51.25,5.8986,De Beukelaer
486,Bose,IT,55.94,clear sky,45.4612,8.0137,Locanda Borgo Antico
493,Mariinsk,RU,40.37,light rain,56.2139,87.7472,"Hotel ""Tourist"""
498,San Carlos De Bariloche,AR,37.15,clear sky,-41.1456,-71.3082,Hotel Patagonia
499,Sharya,RU,41.05,overcast clouds,58.3686,45.5144,Sharya
500,Vestmannaeyjar,IS,45.16,overcast clouds,63.4427,-20.2734,Glamping & Camping
501,Sisimiut,GL,33.24,snow,66.9395,-53.6735,Hotel Sisimiut
503,Ketchikan,US,54.07,light rain,55.3422,-131.6461,Snow's Cove Lodge
504,Chyhyryn,UA,47.95,overcast clouds,49.0838,32.6555,Panatseya
506,Valparaiso,CL,47.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
509,Kaitangata,NZ,51.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
514,Naryan-Mar,RU,42.85,overcast clouds,67.6713,53.087,Hostel Agat
516,Muravlenko,RU,35.06,light rain,63.7898,74.523,Hostel Rus Muravlenko
530,Nelson Bay,AU,55.45,moderate rain,-32.7167,152.15,Mantra Nelson Bay
536,Niculitel,RO,51.39,overcast clouds,45.1833,28.4833,Pensiunea piatra rosie
537,Batagay,RU,43.2,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
541,Kem,RU,42.17,overcast clouds,64.9555,34.5793,"Mini-hotel ""Kem"""
544,Chernyshevskiy,RU,52.52,overcast clouds,63.0128,112.4714,Chernyseyskiy
546,Illapel,CL,53.15,clear sky,-31.6308,-71.1653,Hotel Londres
549,Tornio,FI,41.02,broken clouds,65.8481,24.1466,Park Hotel Tornio
554,Wynyard,AU,49.05,overcast clouds,-41.0,145.7167,Burnie Airport Motel
566,Darhan,MN,53.15,overcast clouds,49.4867,105.9228,Buudai Hotel
569,Northam,GB,53.28,broken clouds,51.0333,-4.2167,Durrant House Hotel
573,Te Anau,NZ,44.71,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
575,Oga,IT,47.08,broken clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
578,Berlevag,NO,39.2,scattered clouds,70.8578,29.0864,Kvitbrakka
581,Port Hardy,CA,55.58,broken clouds,50.6996,-127.4199,Airport Inn
587,Trelew,AR,52.81,clear sky,-43.249,-65.3051,Hotel Touring Club
588,Ostersund,SE,38.07,moderate rain,63.1792,14.6357,Best Western Hotel Gamla Teatern
595,Viedma,AR,45.07,clear sky,-40.8135,-62.9967,Hotel Cristal
601,Myski,RU,39.81,light rain,53.709,87.8014,"Mras-Su, Sport Recreation complex"
603,Altay,CN,54.03,broken clouds,47.8667,88.1167,Jinqiao Hotel
605,Honningsvag,NO,38.73,clear sky,70.9821,25.9704,Nordkapp Vandrerhjem
608,Homer,US,48.07,light rain,59.6425,-151.5483,Beluga Lake Lodge
610,La Rioja,ES,42.58,broken clouds,42.25,-2.5,Casa Concejos
612,Skole,UA,42.69,overcast clouds,49.0372,23.5135,Zelena Hata
620,Kurumkan,RU,54.88,moderate rain,54.3,110.3,Ilikchin
624,Esso,RU,37.94,light rain,55.9333,158.7,Paramushir Tur
636,West Wendover,US,49.21,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
646,Mykhaylivka,UA,53.87,overcast clouds,47.2724,35.2224,Hotelʹ
647,Nyurba,RU,52.23,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
649,Vasterhaninge,SE,40.53,overcast clouds,59.1167,18.1,Viamap
653,Antigonish,CA,53.42,clear sky,45.6169,-61.9986,Claymore Inn and Suites
656,Harbour Breton,CA,47.34,broken clouds,47.4833,-55.7983,Southern Port Hotel
662,Narovchat,RU,44.26,overcast clouds,53.8765,43.6946,Mirazh
665,Saint-Francois,FR,54.84,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
668,Burnie,AU,49.06,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
673,San Luis,AR,48.81,few clouds,-33.295,-66.3356,Huarpes Hotel
677,Eina,NO,45.91,overcast clouds,60.6295,10.5993,Skogstad Leirsted
679,Juneau,US,51.8,moderate rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
685,Emmett,US,53.49,clear sky,43.8735,-116.4993,Holiday Motel & R.V Park
