City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
658,Vavuniya,8.7514,80.4971,76.17,94,100,4.47,LK,moderate rain
659,Gambiran,-6.7988,111.4951,76.68,78,52,5.3,ID,broken clouds
660,Viramgam,23.1225,72.0484,80.83,81,100,12.53,IN,overcast clouds
661,Bintulu,3.1667,113.0333,77.41,100,20,2.3,MY,few clouds
662,Koslan,63.4564,48.8989,39.74,82,95,9.24,RU,overcast clouds
663,Senno,59.5336,33.9167,43.18,68,100,3.51,RU,overcast clouds
664,Okakarara,-20.5833,17.4333,72.43,12,12,9.28,NA,few clouds
665,Portales,34.1862,-103.3344,85.01,26,0,8.01,US,clear sky
666,San Lorenzo,-25.3333,-57.5333,83.34,51,0,6.91,PY,clear sky
667,Naze,28.3667,129.4833,75.56,79,50,9.26,JP,scattered clouds
668,Berekum,7.4534,-2.584,75.6,94,93,3.49,GH,overcast clouds
669,Serebryansk,49.6925,83.2892,72.95,28,92,6.67,KZ,overcast clouds
670,Havre-Saint-Pierre,50.2334,-63.5986,66.56,59,1,11.5,CA,clear sky
671,Colac,-38.3333,143.5833,52.16,90,43,14.97,AU,scattered clouds
672,Miri,4.4148,114.0089,75.34,100,20,0.0,MY,few clouds
673,Suez,29.9737,32.5263,77.07,56,0,13.87,EG,clear sky
674,Banikoara,11.2985,2.4386,77.79,79,99,3.42,BJ,overcast clouds
675,Acarau,-2.8856,-40.12,86.45,58,2,21.61,BR,clear sky
676,Gairo,39.8497,9.5047,75.16,58,75,6.17,IT,broken clouds
677,Vila Velha,-20.3297,-40.2925,78.75,73,20,12.66,BR,few clouds
678,Kedrovka,55.5333,86.05,63.48,49,98,13.24,RU,overcast clouds
679,Bhainsa,26.9548,76.9012,75.69,94,65,10.25,IN,broken clouds
680,Anori,-3.7728,-61.6442,93.94,45,65,1.16,BR,broken clouds
681,Trapani,37.8333,12.6667,80.78,89,20,10.36,IT,few clouds
682,Banjar,-8.19,114.9675,80.46,90,70,5.12,ID,broken clouds
683,Gizo,-8.103,156.8419,81.18,78,75,13.22,SB,broken clouds
684,Asilah,35.465,-6.0348,75.16,69,0,11.63,MA,clear sky
685,Valdivia,-39.8142,-73.2459,53.71,77,97,5.08,CL,overcast clouds
686,Elko,41.0002,-115.5012,73.74,25,0,1.01,US,clear sky
687,Maxixe,-23.8597,35.3472,67.82,77,40,6.91,MZ,light rain
688,Grigiskes,54.6833,25.0833,47.5,93,90,5.01,LT,light intensity drizzle
689,Barentu,15.1139,37.5928,78.12,61,39,5.48,ER,scattered clouds
690,Makakilo City,21.3469,-158.0858,79.12,66,75,9.22,US,broken clouds
691,North Bend,43.4065,-124.2243,66.92,55,1,9.22,US,clear sky
692,Asau,46.4333,26.4,65.32,94,100,5.86,RO,overcast clouds
693,Crotone,39.0851,17.1178,80.55,53,0,9.22,IT,clear sky
694,Sept-Iles,50.2001,-66.3821,63.25,74,75,5.99,CA,broken clouds
695,Yuanping,38.7153,112.7575,61.92,80,100,1.32,CN,overcast clouds
696,Bucerias,20.75,-105.3333,87.78,66,1,0.0,MX,clear sky
697,Port Shepstone,-30.7414,30.455,62.56,61,39,19.17,ZA,scattered clouds
698,Marovoay,-16.1,46.6333,77.14,71,81,9.57,MG,broken clouds
699,Kovylkino,54.0388,43.9139,41.61,65,100,5.12,RU,overcast clouds
700,Male,4.1748,73.5089,84.15,79,75,10.36,MV,broken clouds
701,Molina,-35.1167,-71.2833,53.33,82,75,11.5,CL,broken clouds
702,Jardim,-21.4803,-56.1381,99.03,25,26,6.42,BR,scattered clouds
703,Tairua,-37.0167,175.85,48.09,79,84,6.15,NZ,broken clouds
704,Tahe,52.3333,124.7333,35.24,96,41,4.21,CN,scattered clouds
705,Marsaxlokk,35.8419,14.5431,82.08,74,0,5.75,MT,clear sky
706,Rosetta,31.4044,30.4164,77.79,65,0,11.07,EG,clear sky
707,Filiatra,37.15,21.5833,81.7,75,4,6.02,GR,clear sky
708,Katherine,-14.4667,132.2667,75.52,43,71,4.61,AU,broken clouds
709,Arawa,-6.2132,155.5367,75.7,86,57,3.31,PG,broken clouds
710,Hastings,50.8552,0.5729,66.76,78,92,6.06,GB,overcast clouds
711,Innerleithen,55.6193,-3.063,63.68,83,100,3.0,GB,overcast clouds
712,Sibu,2.3,111.8167,77.31,94,40,1.14,MY,scattered clouds
713,Pueblo Nuevo,23.3833,-105.3833,69.12,73,99,4.32,MX,overcast clouds
714,Lastoursville,-0.8143,12.7287,75.33,92,97,1.92,GA,light rain
715,Svetlyy,54.675,20.1347,53.65,94,96,13.35,RU,overcast clouds
716,Vibo Valentia,38.6996,16.1274,76.14,46,51,5.19,IT,broken clouds
717,Bilozerka,46.6248,32.4425,64.69,68,0,8.95,UA,clear sky
718,Serenje,-13.2325,30.2352,72.01,29,14,4.92,ZM,few clouds
719,Chegutu,-18.1302,30.1407,79.25,36,40,16.33,ZW,scattered clouds
720,Milledgeville,33.0801,-83.2321,82.74,73,61,4.61,US,broken clouds
721,Fort Dodge,42.4975,-94.168,75.74,64,20,8.05,US,few clouds
722,Benito Juarez,19.385,-99.165,73.74,53,75,6.91,MX,broken clouds
